Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
15;2;6;12;35;1545969;53.78986;
16;2;6;12;47;1952340;54.31549;
17;2;6;12;41;1831330;55.33539;
18;2;6;12;96;3655898;53.91766;
19;2;6;12;91;3426543;53.925854;
20;2;6;12;46;2232991;54.975502;
21;2;6;12;43;2806347;54.803783;
22;2;6;12;70;2962283;54.56069;
1;2;7;14;110;2884676;83.71857;
2;2;7;14;128;4110368;84.96336;
3;2;7;14;58;2094609;83.25194;
4;2;7;14;118;3785694;83.150795;
5;2;7;14;49;1565506;83.25194;
6;2;7;14;130;3519468;83.85159;
7;2;7;14;101;2845000;85.46591;
8;2;7;14;89;2479338;86.8201;
9;2;7;14;94;2975718;82.5007;
10;2;7;14;72;2359411;84.86081;
11;2;7;14;150;4998381;81.261604;
12;2;7;14;78;2821756;81.261604;
13;2;7;14;119;4326458;84.07337;
14;2;7;14;98;3309942;84.37677;
15;2;7;14;68;2507291;83.891136;
16;2;7;14;130;4373206;86.407455;
17;2;7;14;35;1578291;85.73691;
18;2;7;14;61;2499657;84.31004;
19;2;7;14;67;2686751;86.365234;
20;2;7;14;33;1858031;85.60791;
21;2;7;14;70;2818751;85.46658;
22;2;7;14;115;4427790;82.49738;
1;2;8;16;172;7054277;132.33513;
2;2;8;16;82;2280661;131.24893;
3;2;8;16;116;3425280;132.52364;
4;2;8;16;148;3629938;130.30637;
5;2;8;16;117;2959928;131.78757;
6;2;8;16;96;2335906;132.54161;
7;2;8;16;153;3454085;134.79759;
8;2;8;16;80;2194088;132.28671;
9;2;8;16;138;3633906;134.95721;
10;2;8;16;88;2546335;131.62071;
11;2;8;16;131;3678600;131.90747;
12;2;8;16;180;5237254;130.76782;
13;2;8;16;154;5135280;130.83405;
14;2;8;16;195;8801457;130.1864;
15;2;8;16;117;4624552;132.99788;
16;2;8;16;158;5474433;133.02905;
17;2;8;16;144;4915784;133.38725;
18;2;8;16;143;5346721;132.40709;
19;2;8;16;137;5280225;130.70992;
20;2;8;16;86;3383100;132.71103;
21;2;8;16;93;3770765;135.17091;
22;2;8;16;143;5434627;133.7672;
1;3;1;3;2;77467;1.6985078;
2;3;1;3;2;107604;1.6985078;
3;3;1;3;2;105219;1.6985078;
4;3;1;3;2;98837;1.6985078;
5;3;1;3;2;104939;1.6985078;
6;3;1;3;2;103617;1.6985078;
7;3;1;3;2;113485;1.6985078;
8;3;1;3;2;80092;1.6985078;
