Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
6;4;2;8;14;445083;14.463274;
7;4;2;8;5;348610;14.556603;
8;4;2;8;6;394718;14.463274;
9;4;2;8;11;551895;14.463274;
10;4;2;8;17;660281;14.463274;
11;4;2;8;6;562345;14.463274;
12;4;2;8;10;640182;14.463274;
13;4;2;8;13;742877;14.463274;
14;4;2;8;5;623661;14.463274;
15;4;2;8;11;1386486;14.463274;
16;4;2;8;11;853737;14.556603;
17;4;2;8;12;663226;14.556603;
18;4;2;8;9;535495;14.556603;
19;4;2;8;8;520035;14.463274;
20;4;2;8;14;703573;14.463274;
21;4;2;8;11;679568;14.463274;
22;4;2;8;6;484648;14.463274;
1;4;3;12;29;563448;43.284393;
2;4;3;12;50;1085437;43.51542;
3;4;3;12;27;711308;43.886536;
4;4;3;12;39;1023038;43.53848;
5;4;3;12;29;755502;44.01633;
6;4;3;12;46;923249;43.0185;
7;4;3;12;42;1145080;43.555195;
8;4;3;12;39;1162872;43.53848;
9;4;3;12;32;1184605;44.29102;
10;4;3;12;58;1670895;43.665306;
11;4;3;12;37;1226143;43.555195;
12;4;3;12;54;1627814;44.01633;
13;4;3;12;51;1620660;43.232677;
14;4;3;12;52;1732392;44.284927;
15;4;3;12;32;1317035;43.0185;
16;4;3;12;45;1587848;43.66996;
17;4;3;12;37;1461409;44.249886;
18;4;3;12;45;1826881;44.227875;
19;4;3;12;28;1404211;43.973972;
20;4;3;12;63;2230124;43.412838;
21;4;3;12;31;1563411;44.227875;
22;4;3;12;61;2285129;43.37702;
1;4;4;16;88;3285715;91.93445;
2;4;4;16;90;2463818;91.75486;
3;4;4;16;50;1579623;90.60502;
4;4;4;16;78;2191752;91.89741;
5;4;4;16;125;3402296;90.939316;
6;4;4;16;65;1982587;89.73498;
7;4;4;16;56;1743312;92.22897;
8;4;4;16;81;2465391;92.27359;
9;4;4;16;61;1888727;91.02119;
10;4;4;16;58;1753061;92.00902;
11;4;4;16;63;2133602;90.62347;
12;4;4;16;70;2334442;90.19361;
